date,tx_count,start_block,end_block
5/28/2025,1302700,22579638,22586779
5/29/2025,1276810,22586780,22593920
5/30/2025,1675206,22593921,22601079
5/31/2025,1701462,22601080,22608222
6/1/2025,1186734,22608223,22615371
6/2/2025,1821257,22615372,22622502
6/3/2025,1381186,22622503,22629651
6/4/2025,1260041,22629652,22636786
6/5/2025,1812132,22636787,22643926
6/6/2025,1575860,22643927,22651076
6/7/2025,1451021,22651077,22658238
6/8/2025,1410177,22658239,22665389
6/9/2025,1813560,22665390,22672529
6/10/2025,1574540,22672530,22679686
6/11/2025,1223782,22679687,22686851
6/12/2025,1570798,22686852,22694004
6/13/2025,1791612,22694005,22701159
6/14/2025,1366605,22701160,22708314
6/15/2025,1071150,22708315,22715455
6/16/2025,1465743,22715456,22722598
6/17/2025,2161905,22722599,22729733
6/18/2025,1430368,22729734,22736892
6/19/2025,1353129,22736893,22744059
6/20/2025,1352023,22744060,22751205
6/21/2025,1170678,22751206,22758352
6/22/2025,1083485,22758353,22765499
6/23/2025,1570245,22765500,22772656
6/24/2025,1245450,22772657,22779822
6/25/2025,2431196,22779823,22786981
6/26/2025,1703599,22786982,22794145
6/27/2025,1713385,22794146,22801302
6/28/2025,1472694,22801303,22808451
6/29/2025,1251979,22808452,22815597
6/30/2025,1222928,22815598,22822757
7/1/2025,1628770,22822758,22829907
7/2/2025,1643192,22829908,22837070
7/3/2025,1925049,22837071,22844221
7/4/2025,1785767,22844222,22851387
7/5/2025,1367744,22851388,22858533
7/6/2025,1330644,22858534,22865687
7/7/2025,1792216,22865688,22872833
7/8/2025,1746827,22872834,22879998
7/9/2025,1309330,22879999,22887145
7/10/2025,1896075,22887146,22894300
7/11/2025,1819723,22894301,22901453
7/12/2025,1268540,22901454,22908628
7/13/2025,1810468,22908629,22915784
7/14/2025,1730339,22915785,22922946
7/15/2025,1828095,22922947,22930115
7/16/2025,1294902,22930116,22937285
7/17/2025,1726765,22937286,22944450
7/18/2025,2042595,22944451,22951617
7/19/2025,1669977,22951618,22958772
7/20/2025,1293637,22958773,22965935
7/21/2025,1659224,22965936,22973093
7/22/2025,1631401,22973094,22980242
7/23/2025,1996592,22980243,22987388
7/24/2025,1937724,22987389,22994533
7/25/2025,1725062,22994534,23001685
7/26/2025,2596216,23001686,23008845
7/27/2025,1479888,23008846,23016015
7/28/2025,1515164,23016016,23023162
7/29/2025,1826110,23023163,23030312
7/30/2025,2122362,23030313,23037458
7/31/2025,1693845,23037459,23044599
8/1/2025,2202901,23044600,23051742
8/2/2025,1214336,23051743,23058902
8/3/2025,1569573,23058903,23066069
8/4/2025,2073536,23066070,23073229
8/5/2025,2365552,23073230,23080393
8/6/2025,2221222,23080394,23087549
8/7/2025,1986738,23087550,23094711
8/8/2025,1834285,23094712,23101865
8/9/2025,1668513,23101866,23109026
8/10/2025,1528242,23109027,23116174
8/11/2025,2180631,23116175,23123333
8/12/2025,1381880,23123334,23130493
8/13/2025,1627363,23130494,23137662
8/14/2025,2497222,23137663,23144801
8/15/2025,2271305,23144802,23151966
8/16/2025,1471080,23151967,23159142
8/17/2025,1584570,23159143,23166312
8/18/2025,1908920,23166313,23173483
8/19/2025,1788696,23173484,23180655
8/20/2025,2118018,23180656,23187825
